entry_time,exit_time,stance,entry_spot,exit_spot,strike_long,strike_short1,strike_short2,net_pnl_pts,net_pnl_rs,cum_pnl,peak,drawdown
2023-05-30 09:20,2023-06-06 15:20,PUT_CALENDAR,18620.25,18610.75,18300,18450,18000,246.17336411581527,16001.268667527993,14398.219124442967,14398.219124442967,0.0
2023-06-08 09:20,2023-06-15 15:20,PUT_CALENDAR,18741.25,18685.05,18450,18600,18150,318.19101065883933,20682.415692824557,14716.410135101807,14716.410135101807,0.0
2023-06-20 09:20,2023-06-27 15:20,PUT_CALENDAR,18700.65,18816.55,18400,18550,18100,169.99613111690724,11049.74852259897,14886.406266218713,14886.406266218713,0.0
2023-07-04 09:20,2023-07-11 15:20,PUT_CALENDAR,19397.3,19441.9,19100,19250,18800,247.03998855047394,16057.599255780806,15133.446254769187,15133.446254769187,0.0
2023-07-13 09:20,2023-07-20 15:20,PUT_CALENDAR,19475.15,19979.75,19200,19350,18900,13.84319564254838,899.8077167656447,15147.289450411736,15147.289450411736,0.0
2023-07-25 09:20,2023-08-01 15:20,PUT_CALENDAR,19685.2,19729.5,19400,19550,19100,266.92301599110215,17349.99603942164,15414.212466402838,15414.212466402838,0.0
2023-08-03 09:20,2023-08-10 15:20,PUT_CALENDAR,19500.95,19538.55,19200,19350,18900,252.98630582748956,16444.10987878682,15667.198772230327,15667.198772230327,0.0
2023-08-17 09:20,2023-08-24 15:20,PUT_CALENDAR,19444.85,19380.15,19150,19300,18850,347.2597401935345,22571.883112579744,16014.458512423862,16014.458512423862,0.0
2023-08-29 09:20,2023-09-05 15:20,PUT_CALENDAR,19332.1,19570.3,19050,19200,18750,124.11378283317345,8067.395884156274,16138.572295257036,16138.572295257036,0.0
2023-09-07 09:20,2023-09-14 15:20,PUT_CALENDAR,19576.0,20104.35,19300,19450,19000,7.936115940257423,515.8475361167325,16146.508411197294,16146.508411197294,0.0
2023-09-21 09:20,2023-09-28 15:20,PUT_CALENDAR,19822.0,19533.3,19500,19650,19200,464.87589226524506,30216.93299724093,16611.38430346254,16611.38430346254,0.0
2023-10-03 09:20,2023-10-10 15:20,PUT_CALENDAR,19529.6,19689.25,19250,19400,18950,180.13302770255996,11708.646800666396,16791.517331165098,16791.517331165098,0.0
2023-10-12 09:20,2023-10-19 15:20,PUT_CALENDAR,19824.95,19615.5,19500,19650,19200,446.7418461097868,29038.219997136144,17238.259177274886,17238.259177274886,0.0
2023-10-26 09:20,2023-11-02 15:20,PUT_CALENDAR,18997.35,19131.05,18700,18850,18400,169.21217457229068,10998.791347198894,17407.471351847176,17407.471351847176,0.0
2023-11-07 09:20,2023-11-13 15:20,PUT_CALENDAR,19373.9,19440.8,19050,19200,18750,208.03165354781322,13522.057480607858,17615.50300539499,17615.50300539499,0.0
2023-11-16 09:20,2023-11-23 15:20,PUT_CALENDAR,19629.5,19802.15,19350,19500,19050,174.50861481460197,11343.059962949128,17790.01162020959,17790.01162020959,0.0
2023-11-28 09:20,2023-12-05 15:20,PUT_CALENDAR,19829.7,20858.0,19550,19700,19250,-76.73418187124696,-4987.721821631052,17713.27743833834,17790.01162020959,-76.73418187124844
2023-12-07 09:20,2023-12-14 15:20,PUT_CALENDAR,20883.7,21187.55,20600,20750,20300,128.49874964456512,8352.418726896733,17841.776187982905,17841.776187982905,0.0
2023-12-19 09:20,2023-12-27 15:20,PUT_CALENDAR,21429.65,21664.45,21150,21300,20850,186.9162857319252,12149.558572575137,18028.69247371483,18028.69247371483,0.0
2023-12-28 09:20,2024-01-04 15:20,PUT_CALENDAR,21735.4,21657.0,21450,21600,21150,451.8428207197385,29369.783346783002,18480.53529443457,18480.53529443457,0.0
2024-01-09 09:20,2024-01-16 15:20,PUT_CALENDAR,21652.7,22019.1,21350,21500,21050,105.92810457349424,6885.3267972771255,18586.463399008062,18586.463399008062,0.0
2024-01-18 09:20,2024-01-25 15:20,PUT_CALENDAR,21459.15,21354.9,21150,21300,20850,443.3005466210989,28814.535530371428,19029.76394562916,19029.76394562916,0.0
2024-01-30 09:20,2024-02-06 15:20,PUT_CALENDAR,21770.75,21926.3,21450,21600,21150,221.1026277947567,14371.670806659185,19250.86657342392,19250.86657342392,0.0
2024-02-08 09:20,2024-02-15 15:20,PUT_CALENDAR,22006.3,21915.9,21700,21850,21400,451.57559986262277,29352.41399107048,19702.44217328654,19702.44217328654,0.0
2024-02-20 09:20,2024-02-27 15:20,PUT_CALENDAR,22064.15,22178.95,21750,21900,21450,264.46862603288446,17190.46069213749,19966.910799319427,19966.910799319427,0.0
2024-02-29 09:20,2024-03-06 15:20,PUT_CALENDAR,21919.95,22476.1,21600,21750,21300,28.43683657991778,1848.3943776946558,19995.347635899343,19995.347635899343,0.0
2024-03-07 09:20,2024-03-15 15:20,PUT_CALENDAR,22478.45,22035.8,22200,22350,21900,652.714682629181,42426.45437089676,20648.062318528522,20648.062318528522,0.0
2024-03-19 09:20,2024-03-27 15:20,PUT_CALENDAR,21950.8,22139.8,21650,21800,21350,217.90629224069107,14163.90899564492,20865.968610769214,20865.968610769214,0.0
2024-03-28 09:20,2024-04-05 15:20,PUT_CALENDAR,22199.3,22511.85,21900,22050,21600,149.93501404314702,9745.775912804556,21015.90362481236,21015.90362481236,0.0
2024-04-09 09:20,2024-04-18 15:20,PUT_CALENDAR,22704.75,22001.35,22400,22550,22100,740.0512060860892,48103.3283955958,21755.95483089845,21755.95483089845,0.0
2024-04-23 09:20,2024-04-30 15:20,PUT_CALENDAR,22423.8,22584.25,22100,22250,21800,235.32033830660566,15295.821989929369,21991.275169205055,21991.275169205055,0.0
2024-05-02 09:20,2024-05-09 15:20,PUT_CALENDAR,22637.7,21941.15,22350,22500,22050,737.8463680641871,47960.01392417216,22729.121537269242,22729.121537269242,0.0
2024-05-14 09:20,2024-05-21 15:20,PUT_CALENDAR,22147.05,22523.75,21850,22000,21550,116.14893354083961,7549.6806801545745,22845.270470810083,22845.270470810083,0.0
