Instrument,Trades,Win Rate (%),Profit Factor,Gross PnL (Rs.),Charges (Rs.),Net PnL (Rs.),Avg PnL/Trade,Max Win,Max Loss,Max Drawdown (Rs.),Robustness Score
SIEMENS,1952,31.2,0.64,-1046928.75,570525.03,-1617453.78,-828.61,18768.54,-43249.1,1655791.92,-0.977
SUPREMEIND,1815,32.0,0.67,-891546.25,494986.24,-1386532.49,-763.93,16577.38,-39613.38,1418176.41,-0.978
ICICIGI,1056,29.5,0.73,-868335.0,254129.66,-1122464.66,-1062.94,34215.59,-15447.32,1147608.39,-0.978
ASIANPAINT,1666,29.8,0.65,-1380075.0,514564.77,-1894639.77,-1137.24,31613.01,-25942.65,1937996.79,-0.978
TRENT,1595,31.0,0.63,-482375.0,294246.44,-776621.44,-486.91,12084.86,-6337.06,792242.39,-0.98
HINDUNILVR,1394,31.6,0.74,-916650.0,434611.65,-1351261.65,-969.34,27315.09,-29722.59,1374566.19,-0.983
TITAN,1793,32.5,0.73,-620357.5,442903.31,-1063260.81,-593.01,24883.26,-17578.97,1080315.25,-0.984
KEI,1593,33.3,0.75,-454317.5,390143.73,-844461.23,-530.11,33497.45,-10343.64,858440.84,-0.984
PIIND,2013,30.7,0.65,-1056746.25,527930.31,-1584676.56,-787.22,15318.41,-29013.45,1608406.47,-0.985
KAYNES,1214,30.8,0.59,-447195.0,236403.22,-683598.22,-563.1,9393.76,-10752.45,691047.27,-0.989
DRREDDY,501,30.9,0.81,-557687.5,151006.88,-708694.38,-1414.56,51391.95,-54810.56,716808.49,-0.989
TATACONSUM,432,30.1,0.76,-562375.0,105504.9,-667879.9,-1546.02,22337.74,-36897.61,674583.85,-0.99
ABB,2034,29.7,0.55,-1062543.75,534755.15,-1597298.9,-785.3,14352.32,-24626.16,1611551.25,-0.991
INDIGO,1799,33.4,0.73,-491880.0,432733.61,-924613.61,-513.96,17028.67,-24153.92,933307.1,-0.991
TORNTPHARM,1536,29.0,0.63,-658606.25,264723.39,-923329.64,-601.13,12611.72,-13620.2,930998.4,-0.992
TATAELXSI,2102,28.7,0.46,-1142960.0,599622.43,-1742582.43,-829.01,8389.03,-5903.83,1753610.95,-0.994
CIPLA,616,29.2,0.71,-673068.75,137339.79,-810408.54,-1315.6,29656.34,-53060.43,814611.3,-0.995
LUPIN,891,29.2,0.7,-1133517.5,282634.12,-1416151.62,-1589.4,46999.79,-40059.76,1423796.23,-0.995
DMART,1860,31.0,0.62,-950070.0,498084.13,-1448154.13,-778.58,26326.67,-21150.55,1454315.74,-0.996
RECLTD,1876,20.8,0.46,-787220.0,392576.14,-1179796.14,-628.89,6677.87,-47562.41,1184512.13,-0.996
NATIONALUM,2006,22.3,0.36,-659437.5,317806.97,-977244.47,-487.16,3577.35,-4499.92,981545.81,-0.996
DIXON,2153,24.8,0.31,-895680.0,440896.77,-1336576.77,-620.8,4893.18,-4100.66,1340346.62,-0.997
AMBUJACEM,2180,22.6,0.37,-1134525.0,502466.22,-1636991.22,-750.91,12090.61,-6598.73,1642516.89,-0.997
